record_id,scope,path_or_group,file_count,source_url,author,license_status,commercial_ok,decision,evidence,notes
T03-001,legacy art,imagesoga/lpc-skorpios-scifi-sprite-pack,89,PENDING,Skorpio's Sprite Pack,CC-BY-SA-3.0 + GPL-3,NO_FOR_SHIP_POLICY,REPLACE,imagesoga/lpc-skorpios-scifi-sprite-pack/License.txt,"Explicit license found locally; quarantine and replace with authored PBR buildings and props."
T03-002,legacy art,imagesoga/lpc-tile-atlas2,3,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"No tile pixels in commercial build; procedural ground shader replaces visuals."
T03-003,legacy art,imagesoga/tiled-terrains/terrain.png,1,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"Logical masks may be retained only if independently recreated and documented."
T03-004,legacy art,imagesoga/1-hour-lpc-enemy,1,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"Replace with authored flyer rig."
T03-005,legacy art,imagesoga/lpc-beetle,3,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"Beetle is post-launch scope; do not ship source art."
T03-006,legacy art,images/bodybuilder,287,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"Replace original bodies, hair, portraits, and customization assets."
T03-007,quarantine,ogaunused,291,PENDING,PENDING,UNKNOWN,PENDING,QUARANTINE,PENDING,"Not eligible for art_final or release export without row-level proof."
T03-008,legacy music,music,11,PENDING,PENDING,UNKNOWN,PENDING,REPLACE,PENDING,"Replace with six authored adaptive tracks; target -14 LUFS."
T03-009,legacy audio,sounds,15,PENDING,PENDING,UNKNOWN,PENDING,REPLACE_OR_PROVE,PENDING,"Every sound requires provenance or a new recording."
T03-010,legacy map,maps/map.tmx,1,PENDING,PENDING,UNKNOWN,PENDING,KEEP_LOGIC_REPLACE_VISUALS,PENDING,"Keep logical properties only; replace referenced OGA tiles."
T03-011,legacy runtime,lib,7,PENDING,PENDING,UNKNOWN,PENDING,REMOVE_FROM_RELEASE,PENDING,"GameJS/jquery/Mustache/Raphael are legacy runtime dependencies; document rights but do not ship them in the Godot build."
T03-012,original code,src,23,PENDING,PENDING,UNKNOWN,PENDING,NEED_OWNER_PROOF,PENDING,"Confirm rights to reuse, port, modify, and commercially distribute original source."
T03-013,original data,buildinginfo.js,1,PENDING,PENDING,UNKNOWN,PENDING,NEED_OWNER_PROOF,PENDING,"Confirm rights to port source building definitions and behavior."
T03-014,new mobile data,mobile/data,11,repository-generated,Project,PROJECT_AUTHORED,YES,REVIEW,PENDING,"Verify every row is derived from approved source or authored mobile tuning."
T03-015,fonts,fonts,0,PENDING,PENDING,UNKNOWN,PENDING,NEED_INVENTORY,PENDING,"Directory is absent; record actual imported font files before sign-off."
T03-016,legacy art,imagesoga/aleon_tales_assets,46,PENDING,PENDING,GPL-2.0_TEXT_FOUND,PENDING,REPLACE_OR_NEED_LAWYER,imagesoga/aleon_tales_assets/COPYING,"GPL license text is present; identify covered files/authors and keep out of art_final until legal review."
